example address,earliest block,latest block,gas used,code length,code chunks,push bytes,PUSH1 zeros,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
0xc2899dfcb0a81b73e89e4a99cd24ab26d8a78295,14527662,14806439,168602639443,21973,687,28.21%,2.01%,3.63%,0.13%,40,45,43,40
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,9012359,19759705,165498000120,7608,238,28.71%,2.00%,3.30%,0.04%,6,5,6,5
0x00000000000111abe46ff893f3b2fdf1f759a8a8,15779224,19755377,165303892588,3667,115,46.58%,1.66%,2.78%,0.08%,6,5,5,4
0x794e6e91555438afc3ccf1c5076a74f42133d08d,9417189,16825742,162142689839,13353,418,32.55%,2.04%,3.30%,0.33%,47,48,50,52
0x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,10403272,19758177,162097047687,24549,768,30.93%,1.79%,2.83%,0.07%,32,32,30,28
0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,12686759,19759709,161885117248,548,18,32.66%,2.37%,1.82%,0.18%,2,3,3,2
0x00182fdb0b880ee24d428e3cc39383717677c37e,12407380,19759689,160793371870,2004,63,60.33%,1.30%,3.14%,0.05%,3,3,3,2
0x526af336d614ade5cc252a407062b8861af998f5,7244524,12571918,160554026694,10507,329,33.33%,3.56%,2.63%,0.04%,10,10,9,8
0xdc6c91b569c98f9f6f74d90f9beff99fdaf4248b,7537978,12419452,160031663377,13634,427,48.56%,2.64%,4.00%,0.04%,10,9,8,8
0x389a081bcf20e5803288183b929f08458f1d863d,16892952,17926704,158882431620,9728,304,32.64%,1.77%,3.39%,0.04%,9,8,8,7
0x0000000000c2d145a2526bd8c716263bfebe1a72,15353924,19759705,158692755751,3884,122,53.89%,0.88%,3.91%,0.05%,5,4,5,4
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,10038086,19759377,155346373962,21032,658,45.23%,1.93%,2.48%,0.03%,13,12,12,10
0x902f09715b6303d4173037652fa7377e5b98089e,14390868,19759705,154882122024,1554,49,57.34%,1.54%,3.47%,0.06%,3,3,3,2
0x61935cbdd02287b511119ddb11aeb42f1593b7ef,8952142,19706584,152993601687,23669,740,41.76%,1.43%,4.29%,0.14%,50,55,54,52
0x253553366da8546fc250f225fe3d25d0c782303b,16925674,19759708,146800094341,7633,239,41.20%,2.35%,3.63%,0.01%,2,2,2,2
0x8e870d67f660d95d5be530380d0ec0bd388289e1,6294960,19759705,143741141300,1506,48,54.38%,1.13%,3.45%,0.20%,6,5,5,4
0x174bfa6600bf90c885c7c01c7031389ed1461ab9,7112482,17969887,141806607492,6555,205,48.34%,2.40%,2.23%,0.08%,6,5,6,6
0xd51a44d3fae010294c616388b506acda1bfaae46,12821246,19759709,141729837748,24427,764,40.34%,3.19%,3.34%,0.07%,28,27,24,21
0x8c9b261faef3b3c2e64ab5e58e04615f8c788099,6141718,19725943,141618772668,20768,649,30.55%,2.52%,4.08%,0.05%,16,17,16,15
0x58b6a8a3302369daec383334672404ee733ab239,5534147,19759668,138666835780,3429,108,35.52%,2.01%,2.83%,0.32%,14,14,13,12
0x63825c174ab367968ec60f061753d3bbd36a0d8f,5049331,17016874,138219991973,7528,236,34.33%,2.76%,2.95%,0.01%,3,3,3,2
0xc662c410c0ecf747543f5ba90660f6abebd9c8c4,13620309,19759555,136440419713,6151,193,37.03%,1.59%,2.65%,0.02%,2,3,3,2
0x5e3ef299fddf15eaa0432e6e66473ace8c13d908,10342613,19759675,134887653954,1914,60,34.12%,1.52%,3.13%,0.10%,3,3,3,2
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,10810138,19759639,134566720852,21199,663,36.70%,3.31%,3.58%,0.02%,9,8,9,9
0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,7003126,16361371,132000621859,14301,447,31.86%,2.62%,3.27%,0.03%,11,13,12,10
0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,14403067,19759705,130650276076,12141,380,32.99%,2.03%,3.81%,0.04%,10,9,9,10
0x86e4dc95c7fbdbf52e33d563bbdb00823894c287,10168246,19759644,128784196761,1696,53,33.49%,2.12%,4.25%,0.18%,5,4,4,3
0xd152f549545093347a162dce210e7293f1452150,6573060,19759698,127645383238,1780,56,43.88%,2.02%,2.36%,0,0,0,0,0
0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,5251766,19754841,127617831207,9696,303,30.93%,2.51%,3.49%,0.08%,11,12,12,10
0xb8901acb165ed027e32754e0ffe830802919727f,13331652,19759708,126790100368,18447,577,54.07%,1.31%,2.95%,0.03%,11,10,9,9
0x4678f0a6958e4d2bc4f1baf7bc52e8f3564f3fe4,5834717,19756936,126687306182,713,23,37.87%,2.81%,2.81%,0.56%,6,5,7,6
0x0d16d4528239e9ee52fa531af613acdb23d88c94,10606987,19759703,125800925418,9571,300,52.70%,1.70%,2.02%,0.05%,7,8,8,7
0xd061d61a4d941c39e5453435b6345dc261c2fce0,10647894,19759418,125360583756,1536,48,44.08%,4.56%,3.58%,0,0,0,0,0
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,15784351,19759708,124352798280,5176,162,57.44%,1.29%,1.85%,0.04%,2,3,3,2
0x455603ad9ae671f6c1f0f746f24d7904ca603581,16926624,19211786,122670206768,9793,307,36.50%,1.25%,2.95%,0.03%,7,8,7,6
0x9ac758ab77733b4150a901ebd659cbf8cb93ed66,11446782,19759367,121536075516,2215,70,47.31%,1.40%,3.93%,0,0,0,0,0
0xa26e15c895efc0616177b7c1e7270a4c7d51c997,5834717,19759484,121444649679,3575,112,35.13%,2.29%,2.74%,0.03%,3,3,3,2
0xb258ca5559b11cd702f363796522b04d7722ea56,17628739,19759707,119301240717,24025,751,38.01%,1.84%,3.47%,0.17%,62,67,66,71
0x20f780a973856b93f63670377900c1d2a50a77c4,14589167,19759593,118738699479,602,19,30.23%,2.49%,3.32%,0,0,0,0,0
0x015040eb85ac97f1532d4d45e309e16d07c0c164,5454886,8834180,118447160291,11159,349,32.26%,2.50%,3.29%,0.04%,11,12,12,10
0x3845badade8e6dff049820680d1f14bd3903a5d0,8835138,19759704,117735087226,7283,228,35.34%,1.74%,2.80%,0.04%,5,4,4,3
0x006efb1f0611f693560ce96e39b9c675b0f35c39,17126929,19759669,116235624800,231,8,63.20%,0.87%,1.30%,0.87%,3,3,3,3
0xf20b9e713a33f61fa38792d2afaf1cd30339126a,5747872,16124247,114407267641,6537,205,28.99%,2.25%,3.29%,0.08%,9,8,7,6
0x92d6c1e31e14520e676a687f0a93788b716beff5,12809792,19759708,113527188276,11913,373,36.65%,1.42%,2.69%,0.09%,16,15,16,16
